state,input
"[-2.858,103.216,54.271,6.247]","[0.000]"
"[-2.644,111.332,54.284,6.420]","[0.000]"
"[-2.416,116.481,54.297,6.251]","[0.000]"
"[-2.181,118.612,54.308,5.329]","[0.000]"
"[-1.945,117.805,54.319,5.401]","[0.000]"
"[-1.713,114.281,54.328,3.688]","[0.000]"
"[-1.490,108.136,54.336,4.161]","[0.000]"
"[-1.283,99.781,54.342,2.022]","[0.000]"
"[-1.094,89.360,54.347,2.935]","[0.000]"
"[-0.927,77.376,54.351,0.706]","[0.000]"
"[-0.786,64.036,54.353,1.948]","[0.000]"
"[-0.672,49.858,54.355,-0.107]","[0.000]"
"[-0.587,35.100,54.356,1.231]","[0.000]"
"[-0.532,20.239,54.357,-0.475]","[0.000]"
"[-0.506,5.553,54.357,0.666]","[0.000]"
"[-0.509,-8.554,54.357,-0.586]","[0.000]"
"[-0.539,-21.820,54.357,0.089]","[0.000]"
"[-0.595,-33.938,54.356,-0.649]","[0.000]"
"[-0.674,-44.688,54.355,-0.618]","[0.000]"
"[-0.773,-53.881,54.353,-0.806]","[0.000]"
"[-0.888,-61.346,54.351,-1.459]","[0.000]"
"[-2.315,-24.768,54.302,-1.753]","[0.000]"
"[-2.356,-15.682,54.299,-0.414]","[0.000]"
"[-2.378,-6.532,54.298,-0.563]","[0.000]"
"[-2.383,2.264,54.298,0.207]","[0.000]"
"[-2.370,10.651,54.299,0.633]","[0.000]"
"[-2.341,18.378,54.300,0.715]","[0.000]"
"[-2.297,25.296,54.303,1.644]","[0.000]"
"[-2.241,31.340,54.305,1.026]","[0.000]"
"[-2.173,36.285,54.309,2.342]","[0.000]"
"[-2.097,40.240,54.312,1.119]","[0.000]"
"[-2.014,42.937,54.316,2.671]","[0.000]"
"[-1.926,44.623,54.320,1.035]","[0.000]"
"[-1.837,45.031,54.323,2.650]","[0.000]"
"[-1.747,44.493,54.327,0.849]","[0.000]"
"[-1.660,42.787,54.330,2.345]","[0.000]"
"[-1.577,40.271,54.333,0.643]","[0.000]"
"[-1.500,36.802,54.335,1.845]","[0.000]"
"[-1.431,32.718,54.338,0.482]","[0.000]"
"[-1.370,27.968,54.339,1.236]","[0.000]"
"[-1.319,22.834,54.341,0.392]","[0.000]"
"[-1.279,17.358,54.342,0.590]","[0.000]"
"[-1.250,11.743,54.343,0.363]","[0.000]"
"[-1.232,6.113,54.343,-0.039]","[0.000]"
"[-1.226,0.579,54.344,0.361]","[0.000]"
"[-1.230,-4.670,54.343,-0.612]","[0.000]"
