state,input
"[-2.197,235.375,53.899,21.411]","[0.609]"
"[-1.367,211.224,53.955,13.372]","[0.407]"
"[-0.653,191.699,53.986,6.584]","[0.304]"
"[-0.014,177.669,53.996,0.709]","[0.101]"
"[0.592,170.000,53.985,-4.589]","[-0.001]"
"[1.201,169.142,53.954,-9.611]","[-0.203]"
"[1.836,173.876,53.905,-14.505]","[-0.406]"
"[0.020,5.667,54.123,0.336]","[0.057]"
"[0.040,2.652,54.123,-0.116]","[0.057]"
"[0.036,-0.229,54.119,-0.420]","[0.056]"
"[0.015,-2.638,54.113,-0.595]","[0.055]"
"[-0.017,-4.334,54.107,-0.684]","[0.055]"
"[-0.051,-5.071,54.103,-0.732]","[0.054]"
"[-0.081,-4.717,54.102,-0.776]","[0.053]"
"[-0.105,-3.576,54.102,-0.826]","[0.052]"
"[-0.119,-2.062,54.102,-0.890]","[0.052]"
"[-0.123,-0.589,54.099,-0.973]","[0.051]"
"[-0.115,0.504,54.094,-1.073]","[0.050]"
"[-0.099,1.189,54.087,-1.162]","[0.050]"
"[-0.083,1.514,54.079,-1.203]","[0.049]"
"[-0.070,1.527,54.072,-1.161]","[0.048]"
"[-0.065,1.285,54.067,-1.010]","[0.047]"
"[-0.067,0.882,54.064,-0.771]","[0.047]"
"[-0.071,0.419,54.063,-0.474]","[0.046]"
"[-0.074,0.000,54.062,-0.152]","[0.045]"
"[-0.073,-0.299,54.062,0.168]","[0.045]"
"[-0.071,-0.503,54.062,0.468]","[0.044]"
"[-0.069,-0.660,54.064,0.732]","[0.044]"
"[-0.070,-0.821,54.067,0.946]","[0.042]"
"[-0.075,-1.017,54.073,1.097]","[0.042]"
"[-0.083,-1.206,54.079,1.177]","[0.041]"
"[-0.092,-1.328,54.086,1.182]","[0.040]"
"[-0.100,-1.321,54.093,1.107]","[0.040]"
"[-0.106,-1.148,54.097,0.953]","[0.039]"
"[-0.110,-0.856,54.100,0.746]","[0.039]"
"[-0.112,-0.513,54.102,0.518]","[0.038]"
"[-0.112,-0.188,54.103,0.304]","[0.038]"
"[24.228,0.212,46.607,-0.799]","[-3.846]"
"[24.233,0.366,46.602,-0.845]","[-3.846]"
"[24.236,0.393,46.597,-0.812]","[-3.846]"
"[24.237,0.351,46.595,-0.743]","[-3.845]"
"[24.236,0.281,46.593,-0.648]","[-3.845]"
