state,input
"[-19.127,-0.022,50.326,-0.057]","[2.629]"
"[-19.128,-0.553,50.325,-0.249]","[2.629]"
"[-19.130,-0.985,50.325,-0.513]","[2.629]"
"[-19.132,-1.408,50.323,-0.657]","[2.629]"
"[-19.135,-1.721,50.322,-0.856]","[2.629]"
"[-19.139,-2.011,50.320,-0.948]","[2.629]"
"[-19.143,-2.194,50.318,-1.073]","[2.629]"
"[-19.148,-2.344,50.316,-1.110]","[2.629]"
"[-19.152,-2.398,50.313,-1.159]","[2.629]"
"[-19.157,-2.414,50.311,-1.148]","[2.629]"
"[-19.162,-2.353,50.309,-1.127]","[2.629]"
"[-19.167,-2.252,50.307,-1.075]","[2.629]"
"[-19.171,-2.099,50.305,-0.994]","[2.629]"
"[-19.175,-1.905,50.303,-0.914]","[2.629]"
"[-19.179,-1.688,50.301,-0.789]","[2.629]"
"[-19.182,-1.432,50.299,-0.691]","[2.629]"
"[-19.185,-1.179,50.298,-0.539]","[2.629]"
"[-19.187,-0.893,50.297,-0.436]","[2.629]"
"[-19.188,-0.634,50.296,-0.274]","[2.629]"
"[-19.189,-0.347,50.296,-0.177]","[2.629]"
"[-19.190,-0.106,50.296,-0.020]","[2.629]"
"[-19.190,0.155,50.296,0.063]","[2.629]"
"[-19.189,0.357,50.296,0.201]","[2.629]"
"[-19.188,0.573,50.296,0.264]","[2.629]"
"[-19.187,0.724,50.297,0.373]","[2.629]"
"[-19.186,0.881,50.298,0.413]","[2.629]"
"[-19.184,0.975,50.299,0.487]","[2.629]"
"[-19.182,1.067,50.300,0.504]","[2.629]"
"[-19.180,1.102,50.301,0.541]","[2.629]"
"[-19.177,1.131,50.302,0.537]","[2.629]"
"[-19.175,1.112,50.303,0.539]","[2.629]"
"[-19.173,1.083,50.304,0.518]","[2.629]"
"[-19.171,1.021,50.305,0.488]","[2.629]"
"[-19.169,0.945,50.306,0.455]","[2.629]"
"[-19.167,0.851,50.307,0.401]","[2.629]"
"[-19.166,0.741,50.307,0.361]","[2.629]"
"[-19.164,0.629,50.308,0.289]","[2.629]"
"[-19.163,0.500,50.309,0.248]","[2.629]"
